Company,Segment,ProfileURL,CompanyWebsite,Status,Emails,SocialLinks,MetaDescription,ReportPath,Description,Gemini_Analysis
Ark Guard LLC,Building Materials,https://www.buildersshow.com/exhibitor/arkguardllc,,No Website Found,,,,offline_dossier/detailed_reports/ark-guard-llc/report.md,"Ark Synthetics was founded in 2020 and is headquartered in Vancouver, Canada. We are dedicated to providing high-performance, reliable, and durable building material solutions for the North American market. In 2025, we established our U.S. subsidiary, Ark Guard, to better serve customers and markets in the United States. We believe building materials are not just the foundation of structures—they carry safety and trust.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Aareas Interactive Inc.,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/aareasinteractiveinc,,No Website Found,,,,offline_dossier/detailed_reports/aareas-interactive-inc/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Astro Plastics,Building Materials,https://www.buildersshow.com/exhibitor/astroplastics,,No Website Found,,,,offline_dossier/detailed_reports/astro-plastics/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Beam,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/beam,,No Website Found,,,,offline_dossier/detailed_reports/beam/report.md,"Beam helps construction businesses build more. We build AI and financial tools that automate spreadsheets and paperwork, replacing hours of manual work and improving profit. With Beam’s AI Assistant, builders can turn plans into professional estimates in minutes, view real-time project financials, and automate bill pay. Beam connects directly to QuickBooks to eliminate double-entry, making it easy for contractors to estimate, invoice, and pay bills.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
AKRIKEM KIMYA - ACRYCHEM,Building Materials,https://www.buildersshow.com/exhibitor/akrikemkimyasanticas,,No Website Found,,,,offline_dossier/detailed_reports/akrikem-kimya-acrychem/report.md,"Acrychem Sealants, having commenced its operations in 2017, is an innovative adhesive and sealing products manufacturer with a team possessing 15 years of local and global experience. Understanding of “quality and trust” is the adopted mission of our company, and we aim to prioritize customer satisfaction and serve our valued customers with any opportunities made viable by technology. 
The philosophy we have adopted in our company is to “deliver your work in a perfect and complete way” rather than the sole idea of “take, perform and finish the job”, and we intend to create sound areas with our technical equipment, professional and experienced staff, and serve with an ethical understanding for “perfect” results. 
Without compromising our understanding of quality, we are striving to deliver our adhesives to our customers with the best result-oriented approach. Wouldn’t you like to experience the “high quality and excellent” result in our adhesive and sealing products with us? 
Acrychem Sealants, que inició sus operaciones en 2017, es un fabricante innovador de adhesivos y selladores con un equipo equipado con 15 años de experiencia local y global. En nuestra empresa, que ha adoptado el entendimiento de «calidad y confianza» como su misión, nuestro objetivo es servir a nuestros valiosos clientes con todas las oportunidades que brinda la tecnología, manteniendo la satisfacción en primer plano. 
En nuestra organización, donde adoptamos la filosofía de «entrega tu trabajo a la perfección» en lugar de la idea de «toma el trabajo, hazlo, termínalo», creamos áreas saludables con nuestro equipo técnico, personal profesional y experimentado, y servir en el marco de un entendimiento ético para un resultado «perfecto». 
Nos esforzamos por entregarles nuestros adhesivos a ustedes, nuestros clientes, con el mejor enfoque orientado a resultados, sin comprometer nuestra comprensión de la calidad. ¿No le gustaría experimentar el resultado de «calidad y perfección» en nuestros productos adhesivos y selladores con nosotros? 
ACRYLIC SEALANTS  
 SILICONE SEALANTS 
POLYURETHANE FOAMS 
POLYURETHANE SEALANTS 
 HYBRID SEALANTS 
ADHESIVES 
ANAEROBICS 
CLEANERS 
NEW PRODUCTS",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Adaptive,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/adaptiverealestateinc,,No Website Found,,,,offline_dossier/detailed_reports/adaptive/report.md,"Adaptive is the AI-Native project accounting platform for construction.
Adaptive replaces reactive accounting with continuous financial control across job costing, WIP, billings, and cash — with a fraction of the effort. 
Most construction teams lose weeks every month chasing the field for receipts and job cost input, reconciling disconnected systems, and sitting through status meetings just to understand where budgets stand. Adaptive changes that. 
With Adaptive, AI does the accounting work for you: 


Auto-job cost every transaction and route it for approval 


Track retainage and AIA billing with clean, consistent workflows 


Flag financial risks early (missing change orders, over/under billings, WIP issues) 


Follow up on vendors in bulk (missing billings, backup, compliance) 


Train AI to match how your business operates with “memories” and rules 


Whether you’re cost-plus or fixed-price, Adaptive helps you: 


Never hire another project accountant 


Level up your current team 


Always know where you stand on WIP + cash 

Get an AI agent across all project financials

Trusted by nearly 1,000 construction companies from $5M–$500M in revenue, Adaptive integrates with your existing stack and gets teams live fast, delivering quick wins now with enterprise-grade flexibility as you scale. 
Stop chasing the field. Start running projects with real-time financial control.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
AluGarden,"Outdoor Living, Leisure, & Modular Structures",https://www.buildersshow.com/exhibitor/alcasmetalsanas,,No Website Found,,,,offline_dossier/detailed_reports/alugarden/report.md,"AluGarden is a registered brand created by Alcas Metal for its pergola and shading systems product group. 
AluGarden has developed aluminum-made shading, deck, garden fence, cotta, sunbreaker, and guillotine window systems for use in gardens and terraces, in response to demands and trends. These products have been designed with an emphasis on safety, comfort, and functionality, creating a large ecosystem that decoratively complements each other. 
The most important feature of our products is that they can be assembled by the consumer with their family members without the need for a professional team or supervisor. Our products are manufactured with wood patterns and colors that are closest to natural wood.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
A.O. Smith,Building Materials,https://www.buildersshow.com/exhibitor/aosmith,,No Website Found,,,,offline_dossier/detailed_reports/a-o-smith/report.md,"“A. O. Smith’s selection of residential and commercial water heaters, boilers, and storage tanks is unmatched for quality and diversity. Anywhere hot water is needed; A. O. Smith can provide an energy-efficient solution with maximum value during and for years after installation. And, A. O. Smith stands behind its products and its customers with world-class service, combining cutting-edge technology with committed people who take pride in being the very best.”",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Bad Dog Tools,"Construction Tools, Systems, Equipment, & Safety",https://www.buildersshow.com/exhibitor/josephathomasltdbaddogtools,,No Website Found,,,,offline_dossier/detailed_reports/bad-dog-tools/report.md,"Since 1988, we've been making Patented Specialty and Multipurpose tools for Cutting and Drilling that are so good we guarantee 'em for life!  
NEW! SMB Bits feature a carbide build and unique multi-step tip that zips through sheet material including metal, laminate, solid surface and wood.  
NEW & IMPROVED! SDS Drill Bits now in THREE lengths: 6"", 8"", 12"" with a new flute style that removes debris more quickly for even faster drilling. 
Drill anything with BAD DOG Multipurpose Bits in sizes from 3/32"" to 1"".  
Cut anything with the HDII Endless Cutting & Grinding Wheel in either flat or flange style in 10 diameters.  
 Cut sheet metal to 14 gauge with precision and no distortion with Patented Biter Drill-Mounted Sheet Material Cutter. 
See these tools and more in action at IBS!",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Bad Dog Tools,"Construction Tools, Systems, Equipment, & Safety",https://www.buildersshow.com/exhibitor/josephathomasltdbaddogtools,,No Website Found,,,,offline_dossier/detailed_reports/bad-dog-tools/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Arizona Tile,Building Materials,https://www.buildersshow.com/exhibitor/arizonatile,,No Website Found,,,,offline_dossier/detailed_reports/arizona-tile/report.md,"Founded in 1977 in San Diego, California, Arizona Tile has grown into a nationally recognized commercial and residential distributor in 10 Western states. Arizona Tile distributes more than 300 varieties of granite, marble, quartzite, limestone and travertine slabs and tile; over 60 colors of Della Terra® Quartz; more than 30 colors and various patterns of Della Terra® Porcelain Slabs; and over 60 series of porcelain, ceramic and glass tile. Founded by John Huarte, former NFL player and Heisman Trophy winner, the company is still family-owned after more than 45 years.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Assured Strategy,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/assuredstrategy,,No Website Found,,,,offline_dossier/detailed_reports/assured-strategy/report.md,"Dynamic business executive coaching company offering tailored services for a wide range of clients, from high-achieving companies seeking to sustain & amplify success to businesses facing challenges looking to pivot toward growth.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Amrize,Building Materials,https://www.buildersshow.com/exhibitor/amrize,,No Website Found,,,,offline_dossier/detailed_reports/amrize/report.md,"Join forces with industry leaders. Amrize offers a comprehensive suite of advanced building envelope systems from the brands you trust — all working together seamlessly to offer end-to-end solutions you can't find anywhere else. 

Architects, general contractors and commercial builders trust Amrize high-performance products for their most demanding projects. Our LEED-certified expertise and seamless system integration provide performance and peace of mind for you and your clients.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
BCM America Inc,Building Materials,https://www.buildersshow.com/exhibitor/bcmamericainc,,No Website Found,,,,offline_dossier/detailed_reports/bcm-america-inc/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Akfix Kimya Lojistik Hizmetleri Ltd. Sti.,Building Materials,https://www.buildersshow.com/exhibitor/akkimyapikimyasallarisanticas,,No Website Found,,,,offline_dossier/detailed_reports/akfix-kimya-lojistik-hizmetleri-ltd-sti/report.md,"Founded in 2001, Akfix operates in the construction chemicals and building technologies sector, focusing on environmentally friendly chemical products and technologies that enhance quality of life and enable advanced, sustainable solutions. 
Developing specialized products for different customer needs, Akfix offers a wide and comprehensive product range, including: 


Adhesives and Glues 


Sealants and Silicones 


Polyurethane Foams 


Technical Aerosols 


Waterproofing and Thermal Insulation Products 


Automotive Care Products 


Industrial Products 


With its extensive know-how and expertise, Akfix has become a true professional and a key player in the polyurethane foam and related products market. It delivers permanent and reliable solutions that support and complement every stage of the professional construction sector, positioning itself as a genuine “Master of Solutions.”",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Adako USA,Interior Finishings & Home Living,https://www.buildersshow.com/exhibitor/adakousa,,No Website Found,,,,offline_dossier/detailed_reports/adako-usa/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Alufem Aluminyum San. Tic. A.S.,Building Materials,https://www.buildersshow.com/exhibitor/alufemaluminyumsanticas,,No Website Found,,,,offline_dossier/detailed_reports/alufem-aluminyum-san-tic-a-s/report.md,"Alufem Aluminium operates in the Kayseri Organized Industrial Zone, providing customer-oriented, fast, and innovative services within a 50,000 m² enclosed production facility. The plant houses aluminium extrusion press lines, polishing surface treatment machines, anodizing facilities, electrostatic powder coating units, wood-effect lamination systems, CNC mechanical processing centers, assembly lines, and expert teams. 
Our company has an annual production capacity of over 27,000 tons of aluminium profiles with extrusion press lines of 1,100 USTons (5”), 2,000 USTons (7”), and 4,000 MTons (10”). We manufacture profiles in various alloys through T0, T4, T5, and T6 heat treatment processes. 
In our anodizing facility, matte, bright, and satin finishes can be applied up to 7.5 meters in length with an annual capacity of 4,000,000 m². Coloring demands ranging from light bronze to black are met using Tin Sulphate and Nickel Sulphate baths. 
The aluminium wood-effect lamination machine enhances production flexibility by allowing rapid and efficient color changes. It is designed to provide durable and reliable wood-effect coating on aluminium profile surfaces. A wood-like appearance is applied to aluminium profiles through high-quality production and assembly processes. 
Our vertical and horizontal electrostatic powder coating facilities offer a service capacity of 28,000 tons/year, covering all RAL codes and architectural coating standards. The powder coating units are designed to be completely isolated from external environmental factors, and production is carried out with fully automatic, process-controlled cabin systems. 
Within our facility, 3- and 4-axis CNC profile machining centers, CNC double-head angular saws, precision cutting machines, and custom process machinery lines enable meticulous and rapid execution of mechanical operations as required by our customers. 
In our R&D center, we provide design and technical support in line with customer demands, working with a focus on maximum quality and satisfaction.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Backyard Discovery | Range,"Outdoor Living, Leisure, & Modular Structures",https://www.buildersshow.com/exhibitor/backyarddiscovery,,No Website Found,,,,offline_dossier/detailed_reports/backyard-discovery-range/report.md,"For 50 years, Backyard Discovery® has helped families bring joy home through thoughtfully designed outdoor structures built for play, gathering, and everyday living. Range Outdoor Living™ elevates that legacy—reimagining outdoor spaces as beautifully crafted destinations made for connection, relaxation, and admiration. While Backyard Discovery® continues to lead with trusted expertise and family-ready innovation, Range Outdoor Living™ steps in as a curated, design-forward extension of the brand—tailored for discerning homeowners who see their backyard as an expression of personal style.
Rooted in the belief that outdoor space should feel as inviting as the indoors, Range Outdoor Living™ blends signature craftsmanship with elevated aesthetics to blur the line between home and nature. Our structures aren’t simply built to look stunning—they’re engineered for real life: morning coffees, golden hours, quiet moments, and shared memories. Range Outdoor Living™ brings one-of-a-kind style out into the open—helping homeowners build a better backyard life, one beautiful, livable space at a time.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
"Ariston Group (American Standard Water Heaters, HTP, NTI, Ariston)",Building Materials,https://www.buildersshow.com/exhibitor/aristongroup,,No Website Found,,,,offline_dossier/detailed_reports/ariston-group-american-standard-water-heaters-htp-nti-ariston/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Association of Professional Builders,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/associationofprofessionalbuild,,No Website Found,,,,offline_dossier/detailed_reports/association-of-professional-builders/report.md,"APB is the leading business coaching company for professional builders in the United States, Canada, Australia and New Zealand. 
Our mission is to improve the construction industry for both builders and consumers by providing builders with proven systems that generate more leads, more contracts and higher margins while improving the client experience. 
We work exclusively with the owners of established custom home-building companies who want less stress, a better work-life balance, respect from their team, and more financial security. 
Whether you need help establishing the critical systems and processes in your building company to scale safely, want to increase your margins so you stop paying yourself under market rate, or are simply ready to break through to that next level of growth, we have the answers and a step-by-step plan for you.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
"AmeriSink, Inc.",Interior Finishings & Home Living,https://www.buildersshow.com/exhibitor/amerisinkinc,,No Website Found,,,,offline_dossier/detailed_reports/amerisink-inc/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Acumatica,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/acumatica,,No Website Found,,,,offline_dossier/detailed_reports/acumatica/report.md,"For small and mid-market general contractors, MEPs, specialty trades, and heavy civil firms, Acumatica Construction Edition is a full-lifecycle, AI-driven construction suite that redefines ERP for the next generation of builders. Acumatica goes beyond legacy systems by seamlessly connecting back office, front office, and field operations within an intelligent, mobile-first platform. Our solution features automated workflows and market-leading usability to help teams build smarter, increase productivity, enhance quality, and capture new opportunities. Growth-friendly licensing empowers everyone with actionable insights, placing control firmly in your hands. 
But Acumatica is more than technology—it’s a vibrant community of contractors, project managers, and construction innovators working together to drive shared success. We are committed to enabling you to win the jobsite through advanced project and field management, proactive AI-powered insights, and deep cross-functional integration with manufacturing and distribution. This streamlines your operations and unlocks new opportunities for market expansion. Building the future of business, together. 
Stop by booth #S6075or visit www.acumatica.com/construction.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
BC Wood,Building Materials,https://www.buildersshow.com/exhibitor/bcwood,,No Website Found,,,,offline_dossier/detailed_reports/bc-wood/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Airmax,"Outdoor Living, Leisure, & Modular Structures",https://www.buildersshow.com/exhibitor/airmax,,No Website Found,,,,offline_dossier/detailed_reports/airmax/report.md,"Airmax, Inc. was founded with a passion to improve the methods in which pond owners care for their ponds. Airmax works with a simple set of guidelines; focus on SAFE, natural solutions that are SIMPLE to use while providing outstanding results. Airmax has developed and engineered several solutions ranging from powerful, quiet, efficient aeration systems to natural water treatments and conditioners for ponds, lakes, and water gardens",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Bidding Enterprise LLC,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/biddingenterprisellc,,No Website Found,,,,offline_dossier/detailed_reports/bidding-enterprise-llc/report.md,"Bidding Enterprise is a professional estimating company providing material takeoffs and cost estimation services to contractors, sub-contractors, and builders. We support our clients in preparing accurate and competitive bids by delivering detailed and precise quantity takeoffs using the latest software and industry standards. Our goal is to streamline the bidding process, reduce overhead costs, and help our clients win more projects.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Alto Capital,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/equitylendingsolutionsllc,,No Website Found,,,,offline_dossier/detailed_reports/alto-capital/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
