gez;neci;Company;Segment;City;State/Country;Booth;Website;Description;Role;Status;Emails;SocialLinks;MetaDescription;ReportPath;Extracted_Products;Extracted_Services;Inferred_Website
;;ACP Projeto Alumínio;Building Materials;São José do Rio Preto, São Paulo;Brazil;W5386;https://www.buildersshow.com/exhibitor/projetoalumínioltda;ProjetoAlumínio®: INNOVATION AND QUALITY IN ACP With 32 years of experience, ProjetoAlumínio® is a market leader and operates the largest and most advanced ACP manufacturing facility in Brazil. Our headquarters and main plant are located in São José do Rio Preto, São Paulo, and we operate in a fully integrated model—covering import, manufacturing, logistics, and export—serving clients across Brazil and in multiple countries. Constantly innovating and committed to quality, we deliver high-technology, high-performance products. We value long-term relationships with our clients and provide effective solutions for evolving market demands. Manufactured in Brazil, in partnership with American suppliers. OUR INFRASTRUCTURE ✅ +169,000 sq ft of built area ✅ +567,000 sq ft of land area ✅ 07 Distribution Centers strategically located near Brazil’s main ports and airports ✅ +USD 16 million invested to enhance ACP quality and performance ✅ 4 state-of-the-art production lines ✅ +1,180 feet of ACP coil-coating painting line INTERNATIONAL PRESENCE We are fully prepared to meet international requirements and ensure excellence in every product. Our export structure is built on the following pillars: ✔ Production Capacity: Scalable operations to meet external demand without compromising quality.✔ Quality Standards: Strict compliance with applicable regulations and certifications.✔ Product Adaptation & Certification: Tailor-made solutions to meet international specifications.✔ Logistics Planning: Efficient documentation and transportation for secure and agile export processes. We currently serve clients across the Americas, including the United States, Mexico, Puerto Rico, Costa Rica, Colombia, Peru, Chile, Paraguay, Argentina and Uruguay, as well countries in the Middle East such as Qatar, Oman, Bahrein and the United Arab Emirates. SUSTAINABILITY Sustainability is a core commitment at ProjetoAlumínio®. Our ACP is 100% recyclable after use and contains up to 80% recycled material in its manufacturing process. 📌 Each ProjetoAlumínio® ACP panel (4.1 ft x 16.4 ft) reuses:♻ 500 recycled aluminum cans♻ 2,500 recycled plastic bags Our production process is fully sustainable, ensuring efficiency throughout the entire chain. We have been awarded the Green Seal for Responsible Socio-Environmental Action, reinforcing our commitment to environmental, economic, and social responsibility.;Product;No Website Found;;;;offline_dossier/detailed_reports/acp-projeto-alum-nio/report.md;ACP (Aluminum Composite Panel), ACP panels (4.1 ft x 16.4 ft);import, manufacturing, logistics, export, tailor-made solutions to meet international specifications;projetoaluminio.com
;;ACP/Palisade;Interior Finishings & Home Living;Neenah;Wisconsin;S13129;https://www.buildersshow.com/exhibitor/acp;;Product;No Website Found;;;;offline_dossier/detailed_reports/acp-palisade/report.md;;;
n;;Acres.com;Business Management & Professional Services;Fayetteville;Arkansas;S3076;https://www.buildersshow.com/exhibitor/acremapsllcdbaacres;Acres.com is an AI-powered land data and mapping platform built to bring transparency to America’s biggest asset–land. With data for over 150 million parcels of land, Acres brings together the information you need to understand and value land with confidence. Access more accurate and comprehensive land intelligence, comparable sales, and easy-to-use mapping tools for fast, informed decision making. Visit acres.com to learn more.;Service;No Website Found;;;;offline_dossier/detailed_reports/acres-com/report.md;land data and mapping platform, mapping tools;land intelligence, comparable sales, data for parcels of land;acres.com
;;Action Target;Outdoor Living, Leisure, & Modular Structures;Provo;Utah;S5178;https://www.buildersshow.com/exhibitor/actiontarget;;Product;No Website Found;;;;offline_dossier/detailed_reports/action-target/report.md;;;
;;ActivWall Systems, LLC;Building Materials;Martinsville;Virginia;W6387;https://www.buildersshow.com/exhibitor/activwallsystemsllc;ActivWall specializes in designing and manufacturing high-quality, customizable moving walls, windows, and doors. Our products are engineered to enhance both residential and commercial environments, offering seamless transitions between indoor and outdoor areas. Proudly made in Martinsville, Virginia, we ship nationwide to bring your vision to life.;Product;No Website Found;;;;offline_dossier/detailed_reports/activwall-systems-llc/report.md;moving walls, windows, doors;designing, manufacturing;activwall.com
;;Acucraft Fireplaces;Interior Finishings & Home Living;Big Lake;Minnesota;S12111;https://www.buildersshow.com/exhibitor/acucraftfireplaces;;Product;No Website Found;;;;offline_dossier/detailed_reports/acucraft-fireplaces/report.md;;;
n;;Acumatica;Business Management & Professional Services;Bellevue;Washington State;S6075;https://www.buildersshow.com/exhibitor/acumatica;For small and mid-market general contractors, MEPs, specialty trades, and heavy civil firms, Acumatica Construction Edition is a full-lifecycle, AI-driven construction suite that redefines ERP for the next generation of builders. Acumatica goes beyond legacy systems by seamlessly connecting back office, front office, and field operations within an intelligent, mobile-first platform. Our solution features automated workflows and market-leading usability to help teams build smarter, increase productivity, enhance quality, and capture new opportunities. Growth-friendly licensing empowers everyone with actionable insights, placing control firmly in your hands. But Acumatica is more than technology—it’s a vibrant community of contractors, project managers, and construction innovators working together to drive shared success. We are committed to enabling you to win the jobsite through advanced project and field management, proactive AI-powered insights, and deep cross-functional integration with manufacturing and distribution. This streamlines your operations and unlocks new opportunities for market expansion. Building the future of business, together. Stop by booth #S6075or visit www.acumatica.com/construction.;Service;No Website Found;;;;offline_dossier/detailed_reports/acumatica/report.md;Acumatica Construction Edition;automated workflows, market-leading usability, advanced project management, field management, AI-powered insights, cross-functional integration with manufacturing and distribution;acumatica.com
;;Adako USA;Interior Finishings & Home Living;Irvine;California;S14059;https://www.buildersshow.com/exhibitor/adakousa;;Product;No Website Found;;;;offline_dossier/detailed_reports/adako-usa/report.md;;;
n;;Adaptive;Business Management & Professional Services;New York;New York;S6065;https://www.buildersshow.com/exhibitor/adaptiverealestateinc;Adaptive is the AI-Native project accounting platform for construction. Adaptive replaces reactive accounting with continuous financial control across job costing, WIP, billings, and cash — with a fraction of the effort. Most construction teams lose weeks every month chasing the field for receipts and job cost input, reconciling disconnected systems, and sitting through status meetings just to understand where budgets stand. Adaptive changes that. With Adaptive, AI does the accounting work for you: Auto-job cost every transaction and route it for approval Track retainage and AIA billing with clean, consistent workflows Flag financial risks early (missing change orders, over/under billings, WIP issues) Follow up on vendors in bulk (missing billings, backup, compliance) Train AI to match how your business operates with “memories” and rules Whether you’re cost-plus or fixed-price, Adaptive helps you: Never hire another project accountant Level up your current team Always know where you stand on WIP + cash Get an AI agent across all project financials Trusted by nearly 1,000 construction companies from $5M–$500M in revenue, Adaptive integrates with your existing stack and gets teams live fast, delivering quick wins now with enterprise-grade flexibility as you scale. Stop chasing the field. Start running projects with real-time financial control.;Service;No Website Found;;;;offline_dossier/detailed_reports/adaptive/report.md;AI-Native project accounting platform, AI agent across all project financials;Auto-job cost every transaction, Track retainage and AIA billing, Flag financial risks early, Follow up on vendors in bulk, Train AI to match business operations;adaptive.com
;;Adept Materials;Building Materials;Somerville;Massachusetts;W7493;https://www.buildersshow.com/exhibitor/adeptmaterials;A new direction in moisture control. Adept Materials develops smart building products powered by our patented Vaporwisp™ technology, first created in our founder’s physics laboratory at Brown University. Our materials are engineered to respond to their environment, redefining how vapor, humidity, and temperature are managed throughout the building envelope. Lilypad Paint is the first product launched with this technology. We are now expanding Vaporwisp™ into weather-resistant wraps, integrated sheathing, and roofing underlayments to deliver a new generation of adaptive, high-performance materials. The future of materials is connected by design. We are building it.;Product;No Website Found;;;;offline_dossier/detailed_reports/adept-materials/report.md;Lilypad Paint, weather-resistant wraps, integrated sheathing, roofing underlayments;;adeptmaterials.com
;;Adfast;Building Materials;Earth City;Missouri;W7788;https://www.buildersshow.com/exhibitor/adfastusa;;Product;No Website Found;;;;offline_dossier/detailed_reports/adfast/report.md;;;
;;Advanced Building Products, Inc.;Building Materials;Sanford;Maine;W6590;https://www.buildersshow.com/exhibitor/advancedbuildingproductsinc;Creating space...it's what they do at Advanced Building Products, Inc. The company manufactures products that create space within your wall assembly, roofing system, flooring system and everywhere in between. As a family-owned manufacturer of entangled net technologies, for over 35 years they have evolved from a copper flashing manufacturer into one of the fastest growing drainage and ventilation manufacturers in the United States. Products they are promoting this year at the IBS show will include: • Mortairvent® - their award-winning all-wall drainage and ventilation mat used for all siding applications.• Watairvent® Furring Strips - patent-pending version of what a furring strip should be in today's building environment.• CedAir-Mat® - ventilation mat used beneath wood roofing.• RAM Vent - radon abatement mat. Advanced Building Products prides itself on selling through proper distribution channels. They value all of their partnerships and work hard through education, joint travel, independent travel, lead qualifications and promotions to ensure its partners succeed.;Product;No Website Found;;;;offline_dossier/detailed_reports/advanced-building-products-inc/report.md;Mortairvent®, Watairvent® Furring Strips, CedAir-Mat®, RAM Vent;education, joint travel, independent travel, lead qualifications, promotions;advancedbuildingproducts.com
;;Advanced Readymix Concrete and Supply;Building Materials;Palmetto;Florida;S4205;https://www.buildersshow.com/exhibitor/advancedreadymixconcreteandsup;;Product;No Website Found;;;;offline_dossier/detailed_reports/advanced-readymix-concrete-and-supply/report.md;;;
;;Aeratis;Building Materials;Knoxville;Tennessee;W4675;https://www.buildersshow.com/exhibitor/aeratis;;Product;No Website Found;;;;offline_dossier/detailed_reports/aeratis/report.md;;;
;;Aeroseal, LLC.;Building Materials;Miamisburg;Ohio;W7142;https://www.buildersshow.com/exhibitor/aerobarrier;;Product;;;;;;;;
;;AFD Home;Interior Finishings & Home Living;Orlando;Florida;S5203;https://www.buildersshow.com/exhibitor/worldofdecor;AFD Home — Project-Driven Design & Architectural Solutions AFD Home is a U.S.-based design, manufacturing, and project-management partner specializing in large-scale builder, developer, and hospitality projects. With more than three decades of experience, we collaborate closely with builders, architects, designers, and developers to deliver custom architectural elements, decorative installations, and statement pieces that elevate residential, commercial, and mixed-use environments. Our project portfolio spans entry gates, fencing, marble and stone elements, architectural detailing, large-scale sculptures, bespoke furnishings, and curated art programs, all engineered to integrate seamlessly into complex builds. From concept development through fabrication and installation coordination, AFD Home brings a solutions-oriented approach tailored to the demands of modern construction and design timelines. AFD Home has extensive experience working with restaurants, hospitality groups, and destination venues, producing durable, visually impactful pieces designed for high-traffic commercial environments. Our team understands builders requirements, scale, material performance, and the importance of cohesive design across multi-location rollouts. What sets AFD Home apart is our worldwide production and sourcing network paired with a highly experienced U.S.-based project management team. We manage global artisans, manufacturers, and logistics partners while serving as a single point of accountability for our clients. This structure allows us to execute projects efficiently, control quality, and meet aggressive schedules — even on large, multi-phase developments. For builders and developers seeking a trusted partner capable of managing custom scope, international production, and complex coordination, AFD Home delivers proven expertise, dependable execution, and distinctive design at scale.;Product;No Website Found;;;;offline_dossier/detailed_reports/afd-home/report.md;entry gates, fencing, marble and stone elements, architectural detailing, large-scale sculptures, bespoke furnishings, curated art programs;design, manufacturing, project management, concept development, fabrication, installation coordination, global sourcing, logistics management;afdhome.com
n;;Aforma;Business Management & Professional Services;Portland;Oregon;S11169;https://www.buildersshow.com/exhibitor/aforma;;Service;No Website Found;;;;offline_dossier/detailed_reports/aforma/report.md;;;
;;African Elephant Wood Zerp;Building Materials;Libreville, Estuaire;Gabon;W8283;https://www.buildersshow.com/exhibitor/africanelephantwoodzerp;At AEW Wood, we craft quality and reliability. From premium timber to custom wood products, we deliver excellence for every project. Whether you need durable hardwood, softwood, or bespoke designs, we’re committed to meeting your needs with precision and care. With sustainable sourcing and cutting-edge craftsmanship, we ensure lasting beauty and strength in every piece.African Elephant Wood(AEW) specializes in crafting high quality Okoume products. Our product range includes Okoume Plywood, Okoume Veneer and Okoume Sawn Timber.We are proud to source and process the finest quality Okoume logs from Gabon. The quality of our products is reflected in our meticulous selection, production and inspection process.We provide customers with competitive prices and diverse product selections. We ensure that all customers receive a satisfactory product, thereby cultivating trust and repeat business.AEW’s commitment to sustainable sourcing and environmental responsibility aligns with growing consumer demand for environmentally friendly products. Products manufactured at our AEW factory are professionally tested and carry certifications such as FSC, BS1088 and CE.African Elephant Wood Group invites you to explore our products and experience our quality and service.;Product;No Website Found;;;;offline_dossier/detailed_reports/african-elephant-wood-zerp/report.md;premium timber, custom wood products, durable hardwood, softwood, bespoke designs, Okoume Plywood, Okoume Veneer, Okoume Sawn Timber;sustainable sourcing, cutting-edge craftsmanship, meticulous selection, production, inspection;aewwood.com
;;AGB – Touch & Wave Lock Systems;Interior Finishings & Home Living;Lake Worth Beach;Florida;S10029;https://www.buildersshow.com/exhibitor/agb–touchwavelocksystems;;Product;No Website Found;;;;offline_dossier/detailed_reports/agb-touch-wave-lock-systems/report.md;;;
;;AGS Stainless Inc.;Outdoor Living, Leisure, & Modular Structures;Bainbridge Island;Washington State;S5174;https://www.buildersshow.com/exhibitor/ags;;Product;No Website Found;;;;offline_dossier/detailed_reports/ags-stainless-inc/report.md;;;
n;;AIBD - American Institute of Building Design;Business Management & Professional Services;Jupiter;Florida;W24;https://www.buildersshow.com/exhibitor/aibd;The American Institute of Building Design (AIBD) is the national professional association for residential building designers, established in 1950 to advance and protect the building design profession. Who AIBD Represents AIBD represents design professionals who specialize in single-family and light commercial residential projects, including custom homes, remodeling, and community-scale design. Members include Certified Professional Building Designers, architects, engineers, and related design professionals committed to high standards of practice and ethics. Mission and Focus AIBD’s mission is to protect and enhance its members’ ability to practice building design while promoting excellence, innovation, and consumer choice in residential design. The organization develops and upholds nationwide design standards and a code of ethics that support quality, safety, and professionalism in the built environment. Education and Certification AIBD provides robust continuing education to keep members current with evolving technologies, materials, sustainability practices, and building codes. Through its related certification programs, it recognizes professionals who demonstrate verified knowledge, experience, and a strong commitment to ongoing professional development. Value to Builders and Consumers Builders and developers partnering with AIBD members gain access to designers who understand constructability, cost-efficiency, and marketability, helping projects move smoothly from concept to completion. For homeowners and buyers, the AIBD name signals a trusted design professional dedicated to functional, beautiful, and code-compliant residential environments.;Service;No Website Found;;;;offline_dossier/detailed_reports/aibd-american-institute-of-building-design/report.md;certification programs;continuing education, design standards development, code of ethics upholding;aibd.org
;;AirCycler;Building Materials;Marshfield;Massachusetts;W5472;https://www.buildersshow.com/exhibitor/aircycler;;Product;No Website Found;;;;offline_dossier/detailed_reports/aircycler/report.md;;;
;;Airfoam/Insul-Deck;Building Materials;Surrey;British Columbia, Canada;W6753;https://www.buildersshow.com/exhibitor/airfoamindustriesltd;;Product;No Website Found;;;;offline_dossier/detailed_reports/airfoam-insul-deck/report.md;;;
;;Airmax;Outdoor Living, Leisure, & Modular Structures;Armada;Michigan;S6195;https://www.buildersshow.com/exhibitor/airmax;"Airmax, Inc. was founded with a passion to improve the methods in which pond owners care for their ponds. Airmax works with a simple set of guidelines; focus on SAFE, natural solutions that are SIMPLE to use while providing outstanding results. Airmax has developed and engineered several solutions ranging from powerful, quiet, efficient aeration systems to natural water treatments and conditioners for ponds, lakes, and water gardens";Product;No Website Found;;;;offline_dossier/detailed_reports/airmax/report.md;aeration systems, natural water treatments, conditioners for ponds, lakes, water gardens;;airmax.com
n;;AKRIKEM KIMYA - ACRYCHEM;Building Materials;Istanbul, Istanbul;Turkey;W6490;https://www.buildersshow.com/exhibitor/akrikemkimyasanticas;Acrychem Sealants, having commenced its operations in 2017, is an innovative adhesive and sealing products manufacturer with a team possessing 15 years of local and global experience. Understanding of “quality and trust” is the adopted mission of our company, and we aim to prioritize customer satisfaction and serve our valued customers with any opportunities made viable by technology. The philosophy we have adopted in our company is to “deliver your work in a perfect and complete way” rather than the sole idea of “take, perform and finish the job”, and we intend to create sound areas with our technical equipment, professional and experienced staff, and serve with an ethical understanding for “perfect” results. Without compromising our understanding of quality, we are striving to deliver our adhesives to our customers with the best result-oriented approach. Wouldn’t you like to experience the “high quality and excellent” result in our adhesive and sealing products with us? Acrychem Sealants, que inició sus operaciones en 2017, es un fabricante innovador de adhesivos y selladores con un equipo equipado con 15 años de experiencia local y global. En nuestra empresa, que ha adoptado el entendimiento de «calidad y confianza» como su misión, nuestro objetivo es servir a nuestros valiosos clientes con todas las oportunidades que brinda la tecnología, manteniendo la satisfacción en primer plano. En nuestra organización, donde adoptamos la filosofía de «entrega tu trabajo a la perfección» en lugar de la idea de «toma el trabajo, hazlo, termínalo», creamos áreas saludables con nuestro equipo técnico, personal profesional y experimentado, y servir en el marco de un entendimiento ético para un resultado «perfecto». Nos esforzamos por entregarles nuestros adhesivos a ustedes, nuestros clientes, con el mejor enfoque orientado a resultados, sin comprometer nuestra comprensión de la calidad. ¿No le gustaría experimentar el resultado de «calidad y perfección» en nuestros productos adhesivos y selladores con nosotros? ACRYLIC SEALANTS SILICONE SEALANTS POLYURETHANE FOAMS POLYURETHANE SEALANTS HYBRID SEALANTS ADHESIVES ANAEROBICS CLEANERS NEW PRODUCTS;Product;No Website Found;;;;offline_dossier/detailed_reports/akrikem-kimya-acrychem/report.md;ACRYLIC SEALANTS, SILICONE SEALANTS, POLYURETHANE FOAMS, POLYURETHANE SEALANTS, HYBRID SEALANTS, ADHESIVES, ANAEROBICS, CLEANERS, NEW PRODUCTS;;acrychem.com
;;Albion Engineering Company;Building Materials;Moorestown;New Jersey;W6386;https://www.buildersshow.com/exhibitor/albionengineeringcompany;Albion Engineering is a third-generation company internationally recognized as a leader in the field of hand held dispensing technologies. Albion supports multiple industries with innovative, high quality dispensing tools and accessories for the most demanding applications. We increase the efficiency and reduce the hassles of installing sealants and adhesives.;Product;No Website Found;;;;offline_dossier/detailed_reports/albion-engineering-company/report.md;dispensing tools, accessories;increasing efficiency, reducing installation hassles;albionengineering.com
n;;ALBOND ALUMINYUM SAN. VE TIC. A.S.;Building Materials;Istanbul, Istanbul;Turkey;W7355;https://www.buildersshow.com/exhibitor/albondaluminyumsanveticas;Albond is manufacturer of Aluminium Composite Panels, Aluminium Painted Coils, Aluminium Extrusion Profiles for facade, roof, gutters, windows and doors, sliding systems. 4 ACP lines, mixing unit, painting line for Acp, 2 extrusion lines 6&8 inches, powder coating line, slitting and cut to length lines. Certified in USA and Europe according to NFPA 285 and ASTM E84, ASTM D1929, EN 13501;Product;No Website Found;;;;offline_dossier/detailed_reports/albond-aluminyum-san-ve-tic-a-s/report.md;Aluminium Composite Panels, Aluminium Painted Coils, Aluminium Extrusion Profiles;facade systems, roof systems, gutters, windows and doors systems, sliding systems, ACP lines, mixing unit, painting, extrusion lines, powder coating, slitting, cut to length;albond.com
n;;Alchemy Insurance Solutions & StrucSure Home Warranty;Business Management & Professional Services;Lancaster;Pennsylvania;S1074;https://www.buildersshow.com/exhibitor/alchemyinsurancesolutionsstruc;;Service;No Website Found;;;;offline_dossier/detailed_reports/alchemy-insurance-solutions-strucsure-home-warranty/report.md;;;
n;;Algoma;Business Management & Professional Services;Brooklyn;New York;W5653;https://www.buildersshow.com/exhibitor/algoma;Algoma is an AI-powered real estate development platform that helps builders evaluate sites and make early-stage investment decisions faster and with greater clarity. The platform automates key pre-construction workflows, including zoning analysis, site capacity, feasibility modeling, massing, rent comps, and early design generation, turning what traditionally takes weeks of fragmented consultant work into a streamlined, data-driven process completed in minutes. Built for small and mid-sized developers as well as larger teams, Algoma centralizes critical parcel, market, and regulatory data into a single workflow and pairs it with AI-assisted analysis and visualization tools. Developers can move from address to feasibility, compare scenarios, generate layouts, and produce investor-ready outputs without stitching together multiple tools and vendors. By reducing time, cost, and uncertainty at the front end of development, Algoma enables teams to evaluate more opportunities, make better go/no-go decisions, and advance projects with greater confidence. The company works with developers, builders, and investors across multiple markets and is backed by leading PropTech investors.;Service;No Website Found;;;;offline_dossier/detailed_reports/algoma/report.md;AI-powered real estate development platform, automated pre-construction workflow tools;zoning analysis, site capacity assessment, feasibility modeling, massing, rent comps analysis, early design generation, AI-assisted analysis and visualization;algoma.com
;;ALI CASTER & HARDWARE CO., LTD;Building Materials;ZHONGSHAN, Guangdong;China;W4283;https://www.buildersshow.com/exhibitor/alicasterhardwarecoltd;ALI CASTER IS MANUFACTURER FOR CASTERS AND WHEELS WHICH IS LOCATED IN FAMOUS HARDWARE BASE XIAOLAN TOWN OF CHINA . OUR FACTORY IS PROFESSIONAL IN MANUFACTURING CASTERS AND WHEELS.OUR PRODUCTS RANG FROM LIGHT DUTY TO HEAVY DUTY,THESE CASTERS AND WHEELS ARE WIDELY USED FOR INDUSTRIAL MACHINES, MEDICAL FACILITIES, FURNITURES, APPARATUS, SHOPPING CARTS, FORKLIFTS, TRANSPORTATION,SCAFFOLDING AND SPECIAL OCCASIONS;Product;No Website Found;;;;offline_dossier/detailed_reports/ali-caster-hardware-co-ltd/report.md;casters, wheels;;alicaster.com
;;All For Wood;Interior Finishings & Home Living;Dover;Delaware;S13157;https://www.buildersshow.com/exhibitor/allforwood;"At All For Wood, we bring our passion for wooden craftsmanship to life through timeless, minimalist furniture. As a young company with a big heart, we specialize in sustainable, durable hardwood pieces that combine simple elegance with affordability-crafted to elevate your home and stand the test of time. ""Design for life"" - That's our mission.";Product;No Website Found;;;;offline_dossier/detailed_reports/all-for-wood/report.md;furniture, hardwood pieces;;allforwood.com
n;;All Western Mortgage;Business Management & Professional Services;Charlotte;North Carolina;S9029;https://www.buildersshow.com/exhibitor/allwesternmortgage;;Service;No Website Found;;;;offline_dossier/detailed_reports/all-western-mortgage/report.md;;;
