location_id,city,region,country
l_st-andre-d-argenteuil-canada,St. Andre D'Argenteuil,,Canada
l_winston-salem-north-carolina-usa,Winston Salem,North Carolina,USA
l_shoreview-minnesota-usa,Shoreview,Minnesota,USA
l_baraboo-wisconsin-usa,Baraboo,Wisconsin,USA
l_xian-shaanxi-china,"Xian, Shaanxi",,China
l_san-leandro-california-usa,San Leandro,California,USA
l_grant-michigan-usa,Grant,Michigan,USA
l_des-moines-iowa-usa,Des Moines,Iowa,USA
l_la-porte-indiana-usa,La Porte,Indiana,USA
l_jackson-michigan-usa,Jackson,Michigan,USA
l_norcross-georgia-usa,Norcross,Georgia,USA
l_nashville-tennessee-usa,Nashville,Tennessee,USA
l_vaughan-ontario-canada,Vaughan,Ontario,Canada
l_denver-colorado-usa,Denver,Colorado,USA
l_chuzhou-anhui-china,"Chuzhou, Anhui",,China
l_hefei-anhui-china,"Hefei, Anhui",,China
l_huainan-anhui-china,"Huainan, Anhui",,China
l_howard-pennsylvania-usa,Howard,Pennsylvania,USA
l_romulus-michigan-usa,Romulus,Michigan,USA
l_the-woodlands-texas-usa,The Woodlands,Texas,USA
l_asheville-north-carolina-usa,Asheville,North Carolina,USA
l_kiel-wisconsin-usa,Kiel,Wisconsin,USA
l_port-townsend-washington-state-usa,Port Townsend,Washington State,USA
l_tucson-arizona-usa,Tucson,Arizona,USA
l_alpharetta-georgia-usa,Alpharetta,Georgia,USA
l_nashua-new-hampshire-usa,Nashua,New Hampshire,USA
l_providence-rhode-island-usa,Providence,Rhode Island,USA
l_tempe-arizona-usa,Tempe,Arizona,USA
l_santa-ana-california-usa,Santa Ana,California,USA
l_nan-turkey,,,Turkey
l_st-johns-florida-usa,St. Johns,Florida,USA
l_kamloops-british-columbia-canada,Kamloops,British Columbia,Canada
l_los-angeles-california-usa,Los Angeles,California,USA
l_north-miami-beach-florida-usa,North Miami Beach,Florida,USA
l_stuart-florida-usa,Stuart,Florida,USA
l_adairsville-georgia-usa,Adairsville,Georgia,USA
l_chanzhou-jiangsu-china,"CHANZHOU, Jiangsu",,China
l_port-klang-selangor-malaysia,"Port Klang, Selangor",,Malaysia
l_plano-texas-usa,Plano,Texas,USA
l_chatsworth-california-usa,Chatsworth,California,USA
l_penang-pulau-pinang-malaysia,"Penang, Pulau Pinang",,Malaysia
l_spring-texas-usa,Spring,Texas,USA
l_georgetown-united-states-of-america-usa,Georgetown,United States Of America,USA
l_covington-georgia-usa,Covington,Georgia,USA
l_fredericton-new-brunswick-canada,Fredericton,New Brunswick,Canada
l_plymouth-massachusetts-usa,Plymouth,Massachusetts,USA
l_atlanta-georgia-usa,Atlanta,Georgia,USA
l_cleveland-ohio-usa,Cleveland,Ohio,USA
l_hangzhou-zhejiang-china,"Hangzhou, Zhejiang",,China
l_covina-california-usa,Covina,California,USA
l_nan-united-kingdom,,,United Kingdom
l_vista-california-usa,Vista,California,USA
l_painesville-ohio-usa,Painesville,Ohio,USA
l_avon-lake-ohio-usa,Avon lake,Ohio,USA
l_delray-beach-florida-usa,Delray Beach,Florida,USA
l_calgary-alberta-canada,Calgary,Alberta,Canada
l_wilmington-delaware-usa,Wilmington,Delaware,USA
l_hialeah-florida-usa,Hialeah,Florida,USA
l_pittsburg-kansas-usa,Pittsburg,Kansas,USA
l_bristol-rhode-island-usa,Bristol,Rhode Island,USA
l_canfield-ohio-usa,Canfield,Ohio,USA
l_nan-india,,,India
l_mckinney-texas-usa,McKinney,Texas,USA
l_draper-utah-usa,Draper,Utah,USA
l_santa-clarita-california-usa,Santa Clarita,California,USA
l_linden-new-jersey-usa,Linden,New Jersey,USA
l_canton-north-carolina-usa,Canton,North Carolina,USA
l_vine-grove-kentucky-usa,Vine Grove,Kentucky,USA
l_zhongshan-guangdong-china,"Zhongshan, Guangdong",,China
l_albemarle-north-carolina-usa,Albemarle,North Carolina,USA
l_scottsdale-arizona-usa,Scottsdale,Arizona,USA
l_new-york-new-york-usa,New  York,New York,USA
l_munich-bayern-germany,"Munich, Bayern",,Germany
l_langley-british-columbia-canada,Langley,British Columbia,Canada
l_diamond-bar-california-usa,Diamond Bar,California,USA
l_apex-north-carolina-usa,Apex,North Carolina,USA
l_tianjin-tianjin-china,"Tianjin, Tianjin",,China
l_nan-china,,,China
l_beijing-beijing-china,"Beijing, Beijing",,China
l_jacksonville-florida-usa,Jacksonville,Florida,USA
l_richfield-minnesota-usa,Richfield,Minnesota,USA
l_boise-idaho-usa,Boise,Idaho,USA
l_southlake-texas-usa,Southlake,Texas,USA
l_new-orleans-louisiana-usa,New Orleans,Louisiana,USA
l_lexington-kentucky-usa,Lexington,Kentucky,USA
l_billings-montana-usa,Billings,Montana,USA
l_new-haven-connecticut-usa,New Haven,Connecticut,USA
l_san-jose-california-usa,San Jose,California,USA
l_lenexa-kansas-usa,Lenexa,Kansas,USA
l_frisco-texas-usa,Frisco,Texas,USA
l_college-point-new-york-usa,College Point,New York,USA
l_washington-missouri-usa,Washington,Missouri,USA
l_gainesville-georgia-usa,Gainesville,Georgia,USA
l_sarasota-florida-usa,Sarasota,Florida,USA
l_walla-walla-washington-state-usa,Walla Walla,Washington State,USA
l_mississauga-ontario-canada,Mississauga,Ontario,Canada
l_cartersville-georgia-usa,Cartersville,Georgia,USA
l_north-vancouver-british-columbia-canada,North Vancouver,British Columbia,Canada
l_danville-virginia-usa,Danville,Virginia,USA
l_mclean-virginia-usa,McLean,Virginia,USA
l_doral-florida-usa,Doral,Florida,USA
l_ogden-utah-usa,Ogden,Utah,USA
l_tustin-california-usa,Tustin,California,USA
l_englewood-colorado-usa,Englewood,Colorado,USA
l_santa-fe-springs-california-usa,SANTA FE SPRINGS,California,USA
l_ontario-california-usa,Ontario,California,USA
l_anniston-alabama-usa,Anniston,Alabama,USA
l_taizhou-zhejiang-china,"Taizhou, Zhejiang",,China
l_wauwatosa-wisconsin-usa,Wauwatosa,Wisconsin,USA
l_botou-hebei-china,"Botou, Hebei",,China
l_kokomo-indiana-usa,Kokomo,Indiana,USA
l_buderim-queensland-australia,"Buderim, Queensland",,Australia
l_tulsa-oklahoma-usa,Tulsa,Oklahoma,USA
l_washington-iowa-usa,Washington,Iowa,USA
l_hackettstown-new-jersey-usa,Hackettstown,New Jersey,USA
l_lesmo-monza-e-della-brianza-italy,"Lesmo, Monza e della Brianza",,Italy
l_edmington-alberta-canada,Edmington,Alberta,Canada
l_oklahoma-city-oklahoma-usa,Oklahoma City,Oklahoma,USA
l_vancouver-british-columbia-canada,Vancouver,British Columbia,Canada
l_little-rock-arkansas-usa,Little Rock,Arkansas,USA
l_sioux-falls-south-dakota-usa,Sioux Falls,South Dakota,USA
l_boston-massachusetts-usa,Boston,Massachusetts,USA
l_littleton-colorado-usa,Littleton,Colorado,USA
l_raleigh-north-carolina-usa,Raleigh,North Carolina,USA
l_durham-north-carolina-usa,Durham,North Carolina,USA
l_puyallup-washington-state-usa,Puyallup,Washington State,USA
l_franklin-lakes-new-jersey-usa,Franklin Lakes,New Jersey,USA
l_irving-texas-usa,Irving,Texas,USA
l_louisville-kentucky-usa,Louisville,Kentucky,USA
l_nan-australia,,,Australia
l_omaha-nebraska-usa,Omaha,Nebraska,USA
l_reston-virginia-usa,Reston,Virginia,USA
l_houston-texas-usa,Houston,Texas,USA
l_eagle-farm-queensland-australia,"Eagle Farm, Queensland",,Australia
l_austin-texas-usa,Austin,Texas,USA
l_suzhou-jiangsu-china,"Suzhou, Jiangsu",,China
l_fairview-texas-usa,Fairview,Texas,USA
l_dania-beach-florida-usa,Dania Beach,Florida,USA
l_st-george-utah-usa,St. George,Utah,USA
l_brookfield-connecticut-usa,Brookfield,Connecticut,USA
l_dongguan-guangdong-china,"Dongguan, Guangdong",,China
l_arthur-illinois-usa,Arthur,Illinois,USA
l_hayward-california-usa,Hayward,California,USA
l_commerce-california-usa,Commerce,California,USA
l_lorton-virginia-usa, Lorton,Virginia,USA
l_wilmington-massachusetts-usa,Wilmington,Massachusetts,USA
l_encinitas-california-usa,Encinitas,California,USA
l_sihanouk-krong-preah-sihanouk-cambodia,"Sihanouk, Krong Preah Sihanouk",,Cambodia
l_cambridge-ontario-canada,Cambridge,Ontario,Canada
l_grand-rapids-michigan-usa,GRAND RAPIDS,Michigan,USA
l_belleville-ontario-canada,BELLEVILLE,Ontario,Canada
l_golden-british-columbia-canada,Golden,British Columbia,Canada
l_ogdensburg-new-york-usa,Ogdensburg,New York,USA
l_bakersfield-california-usa,Bakersfield,California,USA
l_lilburn-georgia-usa,Lilburn,Georgia,USA
l_hai-an-nantong-city-jiangsu-china,"Hai'An, Nantong City,, Jiangsu",,China
l_bonners-ferry-idaho-usa,Bonners Ferry,Idaho,USA
l_elk-grove-village-illinois-usa,Elk Grove Village,Illinois,USA
l_indianapolis-indiana-usa,Indianapolis,Indiana,USA
l_oshkosh-wisconsin-usa,Oshkosh,Wisconsin,USA
l_fort-worth-texas-usa,Fort Worth,Texas,USA
l_ocala-florida-usa,Ocala,Florida,USA
l_plant-city-florida-usa,Plant City,Florida,USA
l_carson-california-usa,Carson,California,USA
l_clearwater-florida-usa,Clearwater,Florida,USA
l_garden-grove-california-usa,Garden Grove,California,USA
l_petaluma-california-usa,Petaluma,California,USA
l_springdale-arkansas-usa,Springdale,Arkansas,USA
l_malvern-pennsylvania-usa,Malvern,Pennsylvania,USA
l_aventura-florida-usa,Aventura,Florida,USA
l_edmonton-alberta-canada,Edmonton,Alberta,Canada
l_troy-michigan-usa,Troy,Michigan,USA
l_changzhou-jiangsu-china,"Changzhou, Jiangsu",,China
l_chaozhou-guangdong-china,"Chaozhou, Guangdong",,China
l_foshan-guangdong-china,"Foshan, Guangdong",,China
l_coeur-d-alene-idaho-usa,Coeur d Alene,Idaho,USA
l_kissimmee-florida-usa,Kissimmee,Florida,USA
l_chongqing-chongqing-china,"Chongqing, Chongqing",,China
l_newark-delaware-usa,Newark,Delaware,USA
l_zwonowice-slaskie-poland,"Zwonowice, Slaskie",,Poland
l_cedar-minnesota-usa,Cedar,Minnesota,USA
l_liberty-hill-texas-usa,Liberty Hill,Texas,USA
l_west-chester-ohio-usa,West Chester,Ohio,USA
l_lakeville-minnesota-usa,Lakeville,Minnesota,USA
l_lakeland-minnesota-usa,Lakeland,Minnesota,USA
l_kalamazoo-michigan-usa,Kalamazoo,Michigan,USA
l_mason-ohio-usa,Mason,Ohio,USA
l_charleston-south-carolina-usa,Charleston,South Carolina,USA
l_morton-grove-illinois-usa,Morton Grove,Illinois,USA
l_pleasant-grove-utah-usa,Pleasant Grove,Utah,USA
l_medellin-antioquia-colombia,"Medellin, Antioquia",,Colombia
l_nan-ireland,,,Ireland
l_garcia-nuevo-le-n-mexico,"Garcia, Nuevo León",,Mexico
l_lincoln-nebraska-usa,Lincoln,Nebraska,USA
l_concord-ontario-canada,Concord,Ontario,Canada
l_markham-ontario-canada,Markham,Ontario,Canada
l_phoenix-arizona-usa,Phoenix,Arizona,USA
l_auburn-alabama-usa,Auburn,Alabama,USA
l_bradenton-florida-usa,Bradenton,Florida,USA
l_winchester-virginia-usa,Winchester,Virginia,USA
l_san-diego-california-usa,San Diego,California,USA
l_hamden-connecticut-usa,Hamden,Connecticut,USA
l_edina-minnesota-usa,Edina,Minnesota,USA
l_st-louis-missouri-usa,St. Louis,Missouri,USA
l_pomona-california-usa,Pomona,California,USA
l_nan-czech-republic,,,Czech Republic
l_naperville-illinois-usa,Naperville,Illinois,USA
l_weaverville-north-carolina-usa,Weaverville ,North Carolina,USA
l_carrolton-texas-usa,Carrolton,Texas,USA
l_canton-massachusetts-usa,Canton,Massachusetts,USA
l_regina-saskatchewan-canada,Regina,Saskatchewan,Canada
l_calhoun-georgia-usa,Calhoun,Georgia,USA
l_salt-lake-city-utah-usa,Salt Lake City,Utah,USA
l_eau-claire-united-states-of-america-usa,Eau Claire,United States Of America,USA
l_millersville-maryland-usa,Millersville,Maryland,USA
l_cerritos-california-usa,Cerritos,California,USA
l_savannah-georgia-usa,Savannah,Georgia,USA
l_rancho-cordova-california-usa,Rancho Cordova,California,USA
l_tacoma-washington-state-usa,Tacoma,Washington State,USA
l_olean-new-york-usa,Olean,New York,USA
l_gardena-california-usa,Gardena,California,USA
l_dalian-liaoning-china,"Dalian, Liaoning",,China
l_wallingford-connecticut-usa,Wallingford,Connecticut,USA
l_seattle-washington-state-usa,Seattle,Washington State,USA
l_ningbo-zhejiang-china,"Ningbo, Zhejiang",,China
l_grand-rapids-michigan-usa,Grand Rapids,Michigan,USA
l_margate-florida-usa,Margate,Florida,USA
l_murrieta-california-usa,Murrieta,California,USA
l_rathnew-wicklow-ireland,"Rathnew, Wicklow",,Ireland
l_sugar-hill-georgia-usa,Sugar Hill,Georgia,USA
l_round-rock-texas-usa,Round Rock,Texas,USA
l_fort-macleod-alberta-canada,Fort Macleod,Alberta,Canada
l_nan-thailand,,,Thailand
l_boulder-colorado-usa,Boulder,Colorado,USA
l_crystal-minnesota-usa,Crystal,Minnesota,USA
l_lakeway-texas-usa,Lakeway,Texas,USA
l_meridian-idaho-usa,Meridian,Idaho,USA
l_schofield-wisconsin-usa,Schofield,Wisconsin,USA
l_charlottesville-virginia-usa,Charlottesville,Virginia,USA
l_bremen-indiana-usa,Bremen,Indiana,USA
l_vancouver-washington-state-usa,Vancouver,Washington State,USA
l_orlando-florida-usa,ORLANDO,Florida,USA
l_davie-florida-usa,Davie,Florida,USA
l_brampton-ontario-canada,Brampton,Ontario,Canada
l_palo-alto-california-usa,Palo Alto,California,USA
l_everett-washington-state-usa,Everett,Washington State,USA
l_baltimore-maryland-usa,Baltimore,Maryland,USA
l_dongying-shandong-china,"Dongying, Shandong",,China
l_davus-california-usa,Davus,California,USA
l_inglewood-california-usa,Inglewood,California,USA
l_williamsburg-virginia-usa,Williamsburg,Virginia,USA
l_nan-united-states-of-america-usa,,United States Of America,USA
l_lake-mary-florida-usa,Lake Mary,Florida,USA
l_south-el-monte-california-usa,South El Monte,California,USA
l_fort-pierce-florida-usa,Fort Pierce,Florida,USA
l_montreal-canada,Montreal,,Canada
l_de-pere-wisconsin-usa,De Pere,Wisconsin,USA
l_loretto-minnesota-usa,Loretto,Minnesota,USA
l_pico-rivera-california-usa,Pico Rivera,California,USA
l_peachtree-city-georgia-usa,Peachtree City,Georgia,USA
l_naples-florida-usa,Naples,Florida,USA
l_cupertino-california-usa,Cupertino,California,USA
l_westlake-texas-usa,Westlake,Texas,USA
l_rowland-heights-california-usa,Rowland Heights,California,USA
l_middletown-new-york-usa,Middletown,New York,USA
l_holland-new-york-usa,Holland,New York,USA
l_hopkins-minnesota-usa,Hopkins,Minnesota,USA
l_eden-wisconsin-usa,Eden,Wisconsin,USA
l_toledo-ohio-usa,Toledo,Ohio,USA
l_brantford-ontario-canada,Brantford,Ontario,Canada
l_smyrna-georgia-usa,Smyrna,Georgia,USA
l_cape-coral-florida-usa,Cape Coral,Florida,USA
l_palm-city-florida-usa,Palm City,Florida,USA
l_woodbridge-canada,Woodbridge,,Canada
l_st-petersburg-florida-usa,St Petersburg,Florida,USA
l_city-of-industry-california-usa,City of Industry,California,USA
l_davenport-florida-usa,Davenport,Florida,USA
l_daveluyville-canada,Daveluyville,,Canada
l_cincinnati-ohio-usa,Cincinnati,Ohio,USA
l_lake-city-florida-usa,Lake City,Florida,USA
l_greenville-illinois-usa,Greenville,Illinois,USA
l_perth-amboy-new-jersey-usa,Perth Amboy,New Jersey,USA
l_victoria-british-columbia-canada,Victoria,British Columbia,Canada
l_niskayuna-new-york-usa,Niskayuna,New York,USA
l_dresden-ontario-canada,Dresden,Ontario,Canada
l_mount-joy-pennsylvania-usa,Mount Joy,Pennsylvania,USA
l_los-alamitos-california-usa,Los Alamitos,California,USA
l_leola-pennsylvania-usa,Leola,Pennsylvania,USA
l_boca-raton-florida-usa,Boca Raton,Florida,USA
l_saint-paul-minnesota-usa,Saint Paul,Minnesota,USA
l_rockford-illinois-usa,Rockford,Illinois,USA
l_shipshewana-indiana-usa,Shipshewana,Indiana,USA
l_walnut-creek-california-usa,Walnut Creek,California,USA
l_pacoima-california-usa,Pacoima,California,USA
l_north-port-florida-usa,North Port,Florida,USA
l_richmond-hill-ontario-canada,Richmond Hill,Ontario,Canada
l_van-nuys-california-usa,Van Nuys,California,USA
l_winston-salem-north-carolina-usa,Winston-Salem,North Carolina,USA
l_oakmont-pennsylvania-usa,Oakmont,Pennsylvania,USA
l_marina-del-ray-california-usa,Marina del Ray,California,USA
l_yulee-florida-usa,Yulee,Florida,USA
l_cornell-de-llobregat-barcelona-spain,"Cornellà de Llobregat, Barcelona",,Spain
l_manitowoc-wisconsin-usa,Manitowoc,Wisconsin,USA
l_green-bay-wisconsin-usa,Green Bay,Wisconsin,USA
l_comstock-park-michigan-usa,Comstock Park ,Michigan,USA
l_sterling-virginia-usa,Sterling,Virginia,USA
l_addison-illinois-usa,Addison,Illinois,USA
l_dania-florida-usa,Dania,Florida,USA
l_bouctouche-new-brunswick-canada,Bouctouche,New Brunswick,Canada
l_agawam-massachusetts-usa,Agawam,Massachusetts,USA
l_chachoengsao-chachoengsao-thailand,"Chachoengsao, Chachoengsao",,Thailand
l_oakland-california-usa,Oakland,California,USA
l_willis-texas-usa,Willis,Texas,USA
l_new-castle-delaware-usa,New Castle,Delaware,USA
l_cranberry-twp-pennsylvania-usa,Cranberry Twp,Pennsylvania,USA
l_deerfield-illinois-usa,Deerfield,Illinois,USA
l_nan-norway,,,Norway
l_atlanta-georgia-usa,Atlanta ,Georgia,USA
l_auburndale-florida-usa,Auburndale,Florida,USA
l_west-bloomfield-township-michigan-usa,West Bloomfield Township,Michigan,USA
l_mukilteo-washington-state-usa,Mukilteo,Washington State,USA
l_loomis-california-usa,Loomis,California,USA
l_miami-beach-florida-usa,Miami Beach,Florida,USA
l_hendersonville-north-carolina-usa,Hendersonville,North Carolina,USA
l_ricahrdson-texas-usa,Ricahrdson,Texas,USA
l_nan-new-zealand,,,New Zealand
l_nan-puerto-rico,,,Puerto Rico
l_hicksville-new-york-usa,Hicksville,New York,USA
l_melbourne-florida-usa,Melbourne,Florida,USA
l_manhattan-kansas-usa,Manhattan,Kansas,USA
l_muhlhausen-bavaria-united-states-of-america-usa,"Muhlhausen, Bavaria",United States Of America,USA
l_winter-garden-florida-usa,Winter Garden,Florida,USA
l_brecksville-ohio-usa,Brecksville,Ohio,USA
l_bridgeport-connecticut-usa,Bridgeport,Connecticut,USA
l_kelowna-british-columbia-canada,Kelowna,British Columbia,Canada
l_fond-du-lac-wisconsin-usa,Fond du Lac,Wisconsin,USA
l_coral-springs-florida-usa,Coral Springs,Florida,USA
l_dearborn-michigan-usa,Dearborn,Michigan,USA
l_louisville-ohio-usa,Louisville,Ohio,USA
l_columbus-ohio-usa,Columbus,Ohio,USA
l_panama-city-florida-usa,Panama City,Florida,USA
l_garland-texas-usa,Garland,Texas,USA
l_sheboygan-wisconsin-usa,Sheboygan,Wisconsin,USA
l_guangzhou-guangdong-china,"Guangzhou, Guangdong",,China
l_holbrook-new-york-usa,Holbrook,New York,USA
l_appleton-wisconsin-usa,Appleton,Wisconsin,USA
l_las-vegas-nevada-usa,Las Vegas,Nevada,USA
l_bloomington-illinois-usa,Bloomington,Illinois,USA
l_temecula-california-usa,Temecula,California,USA
l_hampton-florida-usa,HAMPTON,Florida,USA
l_auburn-washington-state-usa,Auburn,Washington State,USA
l_brunswick-maine-usa,Brunswick,Maine,USA
l_zhangzhou-fujian-china,"Zhangzhou, Fujian",,China
l_nanan-fujian-china,"Nanan, Fujian",,China
l_santa-fe-springs-california-usa,Santa Fe Springs,California,USA
l_carlsbad-california-usa,Carlsbad,California,USA
l_ponte-vedra-florida-usa,Ponte Vedra,Florida,USA
l_brookline-massachusetts-usa,Brookline,Massachusetts,USA
l_saint-georges-canada,Saint-Georges ,,Canada
l_portland-tennessee-usa,Portland,Tennessee,USA
l_kabinburi-prachin-buri-thailand,"Kabinburi, Prachin Buri",,Thailand
l_abbotsford-british-columbia-canada,Abbotsford,British Columbia,Canada
l_tweed-ontario-canada,Tweed,Ontario,Canada
l_heath-ohio-usa,Heath,Ohio,USA
l_east-troy-wisconsin-usa,East Troy,Wisconsin,USA
l_shawnee-oklahoma-usa,Shawnee,Oklahoma,USA
l_johnson-city-tennessee-usa,Johnson City,Tennessee,USA
l_goshen-indiana-usa,Goshen,Indiana,USA
l_maitland-florida-usa,Maitland,Florida,USA
l_zeeland-michigan-usa,Zeeland,Michigan,USA
l_winnipeg-manitoba-canada,Winnipeg,Manitoba,Canada
l_mount-pleasant-south-carolina-usa,Mount Pleasant,South Carolina,USA
l_port-coquitlam-british-columbia-canada,Port Coquitlam,British Columbia,Canada
l_valley-alabama-usa,Valley,Alabama,USA
l_kankakee-illinois-usa,Kankakee,Illinois,USA
l_seoul-seoul-korea,"Seoul, Seoul",,Korea
l_warren-michigan-usa,Warren,Michigan,USA
l_monroe-north-carolina-usa,Monroe,North Carolina,USA
l_nan-france,,,France
l_addison-texas-usa,Addison,Texas,USA
l_nan-nigeria,,,Nigeria
l_cedar-city-utah-usa,Cedar City,Utah,USA
l_tucker-georgia-usa,Tucker,Georgia,USA
l_sanford-florida-usa,Sanford,Florida,USA
l_marietta-georgia-usa,Marietta,Georgia,USA
l_ganzhou-jiangxi-china,"Ganzhou, Jiangxi",,China
l_poultney-vermont-usa,Poultney,Vermont,USA
l_corato-bari-italy,"Corato, Bari",,Italy
l_prey-nob-district-krong-preah-sihanouk-cambodia,"Prey Nob District, Krong Preah Sihanouk",,Cambodia
l_terrace-doral-florida-usa,TERRACE DORAL,Florida,USA
l_foshan-guangdong-china,"FOSHAN, Guangdong",,China
l_chaouzhou-guangdong-china,"Chaouzhou, Guangdong",,China
l_foshan-city-guangdong-china,"Foshan City, Guangdong",,China
l_hezhou-guangxi-china,"Hezhou, Guangxi",,China
l_guangyuan-sichuan-china,"Guangyuan, Sichuan",,China
l_tuzia-istanbul-istanbul-turkey,"Tuzia/ISTANBUL, Istanbul",,Turkey
l_xuancheng-anhui-china,"Xuancheng, Anhui",,China
l_winter-park-florida-usa,Winter Park,Florida,USA
l_wauseon-ohio-usa,Wauseon,Ohio,USA
l_nan-korea,,,Korea
l_haining-zhejiang-china,"Haining, Zhejiang",,China
l_jiaxing-zhejiang-china,"Jiaxing, Zhejiang",,China
l_jersey-city-shanghai-china,"JERSEY CITY, Shanghai",,China
l_cheshire-connecticut-usa,Cheshire,Connecticut,USA
l_abingdon-virginia-usa,Abingdon,Virginia,USA
l_xiamen-fujian-china,"Xiamen, Fujian",,China
l_santa-monica-california-usa,Santa Monica,California,USA
l_pompano-florida-usa,Pompano,Florida,USA
l_lawrenceville-georgia-usa,Lawrenceville,Georgia,USA
l_vaughn-ontario-canada,Vaughn,Ontario,Canada
l_destin-florida-usa,Destin,Florida,USA
l_newport-tennessee-usa,Newport,Tennessee,USA
l_shijiazhuang-hebei-china,"Shijiazhuang, Hebei",,China
l_langfang-hebei-china,"LangFang, Hebei",,China
l_murray-kentucky-usa,Murray,Kentucky,USA
l_hebi-hunan-china,"Hebi, Hunan",,China
l_richmond-california-usa,Richmond,California,USA
l_reisterstown-maryland-usa,Reisterstown,Maryland,USA
l_sahud-ulan-tanza-cavite-philippines,"Sahud Ulan Tanza, Cavite",,Philippines
l_ventura-california-usa,Ventura,California,USA
l_christiana-pennsylvania-usa,Christiana,Pennsylvania,USA
l_wilston-queensland-australia,"Wilston, Queensland",,Australia
l_forest-park-ohio-usa,Forest Park,Ohio,USA
l_west-trenton-new-jersey-usa,West Trenton,New Jersey,USA
l_santa-claus-indiana-usa,Santa Claus,Indiana,USA
l_bangkok-bangkok-thailand,"Bangkok, Bangkok",,Thailand
l_washington-district-of-columbia-usa,Washington,District Of Columbia,USA
l_upper-marlboro-maryland-usa,Upper Marlboro,Maryland,USA
l_chicago-illinois-usa,Chicago,Illinois,USA
l_birmingham-alabama-usa,Birmingham,Alabama,USA
l_arlington-virginia-usa,Arlington,Virginia,USA
l_houston-texas-usa,HOUSTON,Texas,USA
l_augusta-georgia-usa,Augusta,Georgia,USA
l_jamestown-new-york-usa,Jamestown,New York,USA
l_sparta-tennessee-usa,Sparta,Tennessee,USA
l_auckland-auckland-new-zealand,"Auckland, Auckland",,New Zealand
l_huizhou-guangdong-china,"Huizhou, Guangdong",,China
